"Deployment","Date","H2O Sunrise","H20 Sunset","RealTime Sunrise","RealTime Sunset","light duration underwater","light duration above water","difference","half difference","real H2O sunrise","offset","offset_min"
10,2021-08-10,1899-12-30 03:36:00,1899-12-30 17:15:00,1899-12-30 05:58:00,1899-12-30 08:32:00,1899-12-30 13:39:00,1899-12-30 14:34:00,1899-12-30 00:55:00,1899-12-30 00:27:30,1899-12-30 06:25:30,1899-12-30 02:49:30,169
10,2021-08-11,1899-12-30 03:45:00,NA,1899-12-30 06:00:00,1899-12-30 08:30:00,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2021-08-12,1899-12-30 03:36:00,1899-12-30 17:10:00,1899-12-30 06:01:00,1899-12-30 08:28:00,1899-12-30 13:34:00,1899-12-30 14:27:00,1899-12-30 00:53:00,1899-12-30 00:26:30,1899-12-30 06:27:30,1899-12-30 02:51:30,171
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2021-08-15,NA,1899-12-30 17:10:00,1899-12-30 06:05:00,1899-12-30 08:23:00,NA,NA,NA,NA,NA,NA,NA
12,2021-08-16,1899-12-30 03:15:00,1899-12-30 16:20:00,1899-12-30 06:07:00,1899-12-30 08:21:00,1899-12-30 13:05:00,1899-12-30 14:14:00,1899-12-30 01:09:00,1899-12-30 00:34:30,1899-12-30 06:41:30,1899-12-30 03:26:30,206
12,2021-08-17,1899-12-30 03:05:00,1899-12-30 16:45:00,1899-12-30 06:08:00,1899-12-30 08:20:00,1899-12-30 13:40:00,1899-12-30 14:12:00,1899-12-30 00:32:00,1899-12-30 00:16:00,1899-12-30 06:24:00,1899-12-30 03:19:00,199
12,2021-08-18,1899-12-30 03:10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2021-08-15,NA,1899-12-30 17:10:00,1899-12-30 06:05:00,1899-12-30 08:23:00,NA,NA,NA,NA,NA,NA,NA
13,2021-08-16,1899-12-30 03:31:00,1899-12-30 16:35:00,1899-12-30 06:07:00,1899-12-30 08:21:00,1899-12-30 13:04:00,1899-12-30 14:14:00,1899-12-30 01:10:00,1899-12-30 00:35:00,1899-12-30 06:42:00,1899-12-30 03:11:00,191
13,2021-08-17,1899-12-30 03:17:00,1899-12-30 17:07:00,1899-12-30 06:08:00,1899-12-30 08:20:00,1899-12-30 13:50:00,1899-12-30 14:12:00,1899-12-30 00:22:00,1899-12-30 00:11:00,1899-12-30 06:19:00,1899-12-30 03:02:00,182
13,2021-08-18,1899-12-30 03:11:00,NA,1899-12-30 06:09:00,1899-12-30 08:18:00,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2021-08-17,NA,1899-12-30 00:02:00,1899-12-30 06:08:00,1899-12-30 08:20:00,NA,NA,NA,NA,NA,NA,NA
14,2021-08-18,1899-12-30 10:42:00,1899-12-30 00:45:00,1899-12-30 06:09:00,1899-12-30 08:18:00,1899-12-29 14:03:00,1899-12-30 14:09:00,1899-12-31 00:06:00,1899-12-30 12:03:00,1899-12-30 18:12:00,1899-12-30 07:30:00,450
14,2021-08-19,1899-12-30 10:55:00,NA,1899-12-30 06:11:00,1899-12-30 08:16:00,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2021-08-20,NA,1899-12-30 16:53:00,1899-12-30 06:12:00,1899-12-30 08:14:00,NA,NA,NA,NA,NA,NA,NA
15,2021-08-21,1899-12-30 04:15:00,1899-12-30 17:18:00,1899-12-30 06:13:00,1899-12-30 08:12:00,1899-12-30 13:03:00,1899-12-30 13:59:00,1899-12-30 00:56:00,1899-12-30 00:28:00,1899-12-30 06:41:00,1899-12-30 02:26:00,146
15,2021-08-22,1899-12-30 04:30:00,1899-12-30 17:20:00,1899-12-30 06:15:00,1899-12-30 08:10:00,1899-12-30 12:50:00,1899-12-30 13:55:00,1899-12-30 01:05:00,1899-12-30 00:32:30,1899-12-30 06:47:30,1899-12-30 02:17:30,137
15,2021-08-23,1899-12-30 04:01:00,NA,1899-12-30 06:16:00,1899-12-30 08:08:00,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2021-08-21,1899-12-30 03:57:00,1899-12-30 17:01:00,1899-12-30 06:13:00,1899-12-30 08:12:00,1899-12-30 13:04:00,1899-12-30 13:59:00,1899-12-30 00:55:00,1899-12-30 00:27:30,1899-12-30 06:40:30,1899-12-30 02:43:30,163
16,2021-08-22,1899-12-30 03:57:00,NA,1899-12-30 06:15:00,1899-12-30 08:10:00,NA,NA,NA,NA,NA,NA,NA
